ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Random Forest,0.9210429673154609,0.9934028722699711,0.9211231670825233,0.9210429673154609,0.9209801762347842,0.9044987113834358
Logistic Regression,0.9206757253029747,0.9947676264624941,0.9215328435004574,0.9206757253029747,0.9208728071055451,0.9041666634728006
K-Nearest Neighbors,0.9166360631656262,0.9833171481074184,0.9174092603022151,0.9166360631656262,0.9168048079580466,0.8992035213926259
Gaussian Naive Bayes,0.8979067205288285,0.9916140133662351,0.9007023749849569,0.8979067205288285,0.8980754820999807,0.8772632840842779
Decision Tree,0.8920308483290489,0.9449962767874374,0.8916927238123676,0.8920308483290489,0.891630337288096,0.8695693170006366
